stat_id,city_id,stat_date,avg_pm_cn1,avg_pm_cn2,avg_pm_cn3,avg_pm_us,avg_pm,max_pm,min_pm,aqi_level
40,3,2013-04-06,47.375,41.625,,,44.5,47.375,41.625,2
41,5,2014-10-09,113.041666,94.708333,,102.125,103.874999,113.041666,94.708333,3
42,5,2015-07-09,50.291666,44.041666,,52.75,47.166666,52.75,44.041666,2
43,2,2014-09-13,15.227272,15.333333,,9.913043,15.280302,15.333333,9.913043,1
44,2,2015-06-13,72.458333,60.0,,51.583333,66.229166,72.458333,51.583333,2
45,4,2011-11-30,89.041666,,,89.041666,89.041666,89.041666,89.041666,3
46,3,2013-12-04,289.368421,226.052631,,254.263157,257.710526,289.368421,226.052631,6
47,5,2013-10-02,17.4,17.35,,17.95,17.375,17.95,17.35,1
48,1,2015-10-03,25.708333,,26.583333,23.083333,26.145833,26.583333,23.083333,1
49,3,2013-12-27,117.434782,109.391304,,103.695652,113.413043,117.434782,103.695652,3
50,3,2015-08-01,36.291666,30.791666,,37.75,33.541666,37.75,30.791666,1
51,4,2012-07-12,16.083333,,,16.083333,16.083333,16.083333,16.083333,1
52,5,2013-10-25,63.130434,49.956521,,55.043478,56.543477,63.130434,49.956521,2
53,5,2015-11-11,123.0,118.227272,,139.181818,120.613636,139.181818,118.227272,4
54,1,2014-08-20,104.695652,92.47826,88.347826,91.933333,95.173912,104.695652,88.347826,3
55,1,2015-06-07,16.666666,7.25,16.416666,16.125,13.444444,16.666666,7.25,1
56,2,2013-04-23,90.772727,84.869565,,86.208333,87.821146,90.772727,84.869565,3
57,3,2015-08-24,65.958333,52.833333,,60.958333,59.395833,65.958333,52.833333,2
58,5,2014-04-16,57.181818,49.625,,55.782608,53.403409,57.181818,49.625,2
59,5,2015-02-03,145.208333,126.0,,154.956521,135.604166,154.956521,126.0,4
60,4,2014-09-16,9.0,11.041666,,9.0,10.020833,11.041666,9.0,1
61,1,2015-10-26,31.695652,,30.73913,29.217391,31.217391,31.695652,29.217391,1
62,2,2013-09-29,81.318181,85.826086,,69.166666,83.572133,85.826086,69.166666,3
63,3,2014-06-18,58.0,54.166666,,69.416666,56.083333,69.416666,54.166666,2
64,3,2015-03-18,53.791666,48.75,,60.083333,51.270833,60.083333,48.75,2
65,3,2015-04-05,19.416666,17.5,,24.125,18.458333,24.125,17.5,1
66,4,2013-02-21,46.333333,46.875,,46.333333,46.604166,46.875,46.333333,2
67,1,2013-12-15,43.416666,61.708333,53.291666,59.375,52.805555,61.708333,43.416666,2
68,2,2013-09-06,21.0,24.521739,,25.041666,22.760869,25.041666,21.0,1
69,4,2015-11-22,33.041666,33.458333,,33.041666,33.249999,33.458333,33.041666,1
70,1,2013-09-23,33.041666,33.416666,32.125,38.833333,32.86111,38.833333,32.125,1
71,2,2015-05-26,25.47826,31.416666,,29.521739,28.447463,31.416666,25.47826,1
72,3,2013-07-21,57.391304,44.043478,,54.782608,50.717391,57.391304,44.043478,2
73,4,2014-11-30,43.333333,43.782608,,43.333333,43.55797,43.782608,43.333333,2
74,4,2015-03-24,13.681818,19.875,,13.681818,16.778409,19.875,13.681818,1
75,5,2013-05-19,79.875,67.0625,,53.375,73.46875,79.875,53.375,2
76,1,2015-05-20,35.90909,13.782608,20.0,15.75,23.230566,35.90909,13.782608,1
77,3,2014-11-24,55.869565,57.913043,,62.130434,56.891304,62.130434,55.869565,2
78,4,2013-07-27,12.166666,20.75,,12.166666,16.458333,20.75,12.166666,1
79,5,2014-05-03,41.291666,35.208333,,33.791666,38.249999,41.291666,33.791666,2
80,2,2015-01-07,38.260869,39.5,,42.583333,38.880434,42.583333,38.260869,2
81,3,2013-10-13,128.625,140.666666,,130.833333,134.645833,140.666666,128.625,4
82,4,2015-06-16,18.958333,25.166666,,18.958333,22.062499,25.166666,18.958333,1
83,5,2013-02-27,254.681818,245.333333,,,250.007575,254.681818,245.333333,6
84,1,2014-01-03,44.826086,43.190476,45.47826,54.217391,44.498274,54.217391,43.190476,2
85,2,2013-07-15,20.0,21.619047,,14.761904,20.809523,21.619047,14.761904,1
86,5,2014-06-30,109.041666,56.291666,,70.5,82.666666,109.041666,56.291666,3
87,5,2015-03-30,84.583333,74.625,,89.25,79.604166,89.25,74.625,3
88,1,2013-11-14,63.318181,63.875,65.166666,66.041666,64.119949,66.041666,63.318181,2
89,5,2014-09-22,103.791666,75.083333,,96.954545,89.437499,103.791666,75.083333,3
90,5,2015-06-22,48.916666,41.916666,,48.125,45.416666,48.916666,41.916666,2
91,2,2014-11-18,61.304347,59.875,,60.826086,60.589673,61.304347,59.875,2
92,2,2015-08-18,44.521739,43.875,,41.5,44.198369,44.521739,41.5,2
93,3,2013-04-29,28.5,26.5,,20.5,27.5,28.5,20.5,1
94,4,2014-02-05,32.333333,36.416666,,32.333333,34.374999,36.416666,32.333333,1
95,5,2013-08-11,112.583333,108.208333,,,110.395833,112.583333,108.208333,3
96,2,2014-11-04,37.347826,41.25,,38.166666,39.298913,41.25,37.347826,2
97,4,2014-09-02,39.416666,47.958333,,39.416666,43.687499,47.958333,39.416666,2
98,2,2013-05-04,42.217391,29.875,,42.958333,36.046195,42.958333,29.875,2
99,4,2015-08-07,35.291666,60.095238,,35.291666,47.693452,60.095238,35.291666,2
100,5,2015-12-15,52.545454,36.916666,,60.875,44.73106,60.875,36.916666,2
101,1,2015-07-11,114.541666,104.5,97.541666,85.833333,105.527777,114.541666,85.833333,3
102,2,2013-05-27,36.40909,31.357142,,23.227272,33.883116,36.40909,23.227272,1
103,2,2014-04-07,33.227272,37.045454,,38.272727,35.136363,38.272727,33.227272,2
104,2,2015-03-12,70.681818,70.25,,68.458333,70.465909,70.681818,68.458333,2
105,3,2015-07-20,68.625,60.583333,,67.208333,64.604166,68.625,60.583333,2
106,5,2015-03-07,129.416666,120.375,,120.291666,124.895833,129.416666,120.291666,4
107,2,2015-12-20,48.875,50.541666,,50.041666,49.708333,50.541666,48.875,2
108,5,2014-12-23,97.086956,101.565217,,105.173913,99.326086,105.173913,97.086956,3
109,3,2014-07-28,53.421052,67.736842,,69.0,60.578947,69.0,53.421052,2
110,5,2014-03-15,49.291666,47.833333,,47.916666,48.562499,49.291666,47.833333,2
111,5,2014-05-26,26.541666,27.166666,,29.625,26.854166,29.625,26.541666,1
112,2,2015-04-22,83.125,88.75,,72.0,85.9375,88.75,72.0,3
113,2,2015-10-09,80.95238,76.666666,,63.785714,78.809523,80.95238,63.785714,3
114,3,2013-08-25,63.458333,66.125,,54.875,64.791666,66.125,54.875,2
115,3,2014-07-05,39.875,43.916666,,52.0,41.895833,52.0,39.875,2
116,1,2013-03-30,80.75,81.434782,76.375,94.583333,79.519927,94.583333,76.375,3
117,3,2013-08-02,50.333333,36.095238,,47.15,43.214285,50.333333,36.095238,2
118,4,2015-09-17,46.083333,49.708333,,46.083333,47.895833,49.708333,46.083333,2
119,5,2015-05-18,40.416666,40.958333,,33.708333,40.687499,40.958333,33.708333,2
120,2,2014-10-17,16.47826,23.0,,17.75,19.73913,23.0,16.47826,1
121,2,2015-02-11,81.958333,80.125,,79.291666,81.041666,81.958333,79.291666,3
122,4,2014-08-15,18.833333,31.708333,,18.833333,25.270833,31.708333,18.833333,1
123,5,2013-10-08,31.95,34.65,,43.578947,33.3,43.578947,31.95,1
124,2,2014-03-20,59.833333,66.130434,,62.333333,62.981883,66.130434,59.833333,2
125,4,2014-01-18,65.208333,75.916666,,65.208333,70.562499,75.916666,65.208333,2
126,1,2013-10-27,200.380952,211.375,217.238095,228.541666,209.664682,228.541666,200.380952,5
127,1,2014-09-07,154.208333,146.375,135.083333,141.416666,145.222222,154.208333,135.083333,4
128,3,2014-01-12,74.541666,74.541666,,60.708333,74.541666,74.541666,60.708333,2
129,4,2014-11-07,40.666666,41.291666,,40.666666,40.979166,41.291666,40.666666,2
130,4,2015-02-20,41.583333,40.916666,,41.583333,41.249999,41.583333,40.916666,2
131,1,2014-10-11,147.5,236.608695,187.833333,184.25,190.647342,236.608695,147.5,5
132,2,2014-06-12,55.666666,56.454545,,51.625,56.060605,56.454545,51.625,2
133,5,2014-06-07,43.791666,29.916666,,43.958333,36.854166,43.958333,29.916666,2
134,1,2013-02-06,66.181818,,80.090909,91.227272,73.136363,91.227272,66.181818,2
135,1,2014-07-19,68.916666,63.208333,59.0,61.25,63.708333,68.916666,59.0,2
136,1,2015-04-19,71.260869,64.125,66.291666,61.041666,67.225845,71.260869,61.041666,2
137,2,2013-10-30,40.916666,52.130434,,44.695652,46.52355,52.130434,40.916666,2
138,2,2014-12-05,86.272727,82.347826,,81.375,84.310276,86.272727,81.375,3
139,3,2014-05-17,125.260869,99.541666,,111.375,112.401267,125.260869,99.541666,3
140,3,2015-02-17,88.833333,93.625,,101.208333,91.229166,101.208333,88.833333,3
141,3,2015-11-02,62.772727,50.041666,,66.583333,56.407196,66.583333,50.041666,2
142,4,2013-08-28,54.458333,,,54.458333,54.458333,54.458333,54.458333,2
143,4,2013-11-23,90.25,,,90.25,90.25,90.25,90.25,3
144,4,2014-10-03,31.625,47.75,,31.625,39.6875,47.75,31.625,2
145,1,2014-03-14,22.958333,21.458333,22.375,24.875,22.263888,24.875,21.458333,1
146,4,2012-06-02,44.375,,,44.375,44.375,44.375,44.375,2
147,4,2013-03-02,35.958333,30.818181,,35.958333,33.388257,35.958333,30.818181,1
148,3,2014-08-09,15.875,15.708333,,36.173913,15.791666,36.173913,15.708333,1
149,3,2015-05-09,56.291666,53.458333,,61.5,54.874999,61.5,53.458333,2
150,4,2014-04-10,43.416666,51.916666,,43.416666,47.666666,51.916666,43.416666,2
151,4,2015-01-10,61.083333,62.208333,,61.083333,61.645833,62.208333,61.083333,2
152,2,2013-02-12,,41.25,,46.75,41.25,46.75,41.25,2
153,2,2014-05-11,41.458333,42.304347,,36.05,41.88134,42.304347,36.05,2
154,3,2015-01-04,163.0,176.846153,,202.076923,169.923076,202.076923,163.0,5
155,4,2014-03-09,21.625,24.75,,21.625,23.1875,24.75,21.625,1
156,1,2015-12-14,132.0,16.0,148.608695,150.130434,98.869565,150.130434,16.0,3
157,3,2015-10-12,77.375,74.958333,,85.791666,76.166666,85.791666,74.958333,3
158,5,2015-08-10,33.941176,24.17647,,,29.058823,33.941176,24.17647,1
159,2,2015-09-28,26.375,22.083333,,23.708333,24.229166,26.375,22.083333,1
160,3,2013-03-19,70.384615,76.090909,,75.5,73.237762,76.090909,70.384615,2
161,4,2012-11-08,62.0,,,62.0,62.0,62.0,62.0,2
162,4,2014-05-20,46.708333,46.956521,,46.708333,46.832427,46.956521,46.708333,2
163,2,2015-07-14,84.75,75.75,,62.25,80.25,84.75,62.25,3
164,4,2015-05-12,20.0,18.75,,20.0,19.375,20.0,18.75,1
165,1,2013-07-12,83.470588,108.117647,85.294117,73.823529,92.294117,108.117647,73.823529,3
166,2,2013-08-19,6.956521,10.181818,,5.9375,8.569169,10.181818,5.9375,1
167,3,2013-05-10,38.434782,33.5,,24.833333,35.967391,38.434782,24.833333,2
168,3,2015-04-28,108.916666,99.541666,,118.5,104.229166,118.5,99.541666,3
169,4,2012-04-11,32.956521,,,32.956521,32.956521,32.956521,32.956521,1
170,4,2015-12-09,17.625,19.833333,,17.625,18.729166,19.833333,17.625,1
171,5,2015-02-26,27.666666,24.25,,30.583333,25.958333,30.583333,24.25,1
172,2,2014-07-22,19.956521,16.826086,,12.041666,18.391303,19.956521,12.041666,1
173,4,2015-03-01,13.631578,10.958333,,13.631578,12.294955,13.631578,10.958333,1
174,5,2013-01-17,340.125,382.6,,,361.3625,382.6,340.125,6
175,3,2015-12-26,117.666666,103.416666,,123.916666,110.541666,123.916666,103.416666,3
176,4,2014-12-17,35.25,35.416666,,35.25,35.333333,35.416666,35.25,2
177,5,2014-08-18,101.541666,91.0,,101.458333,96.270833,101.541666,91.0,3
178,5,2014-11-10,163.375,154.166666,,152.708333,158.770833,163.375,152.708333,5
179,2,2014-12-28,73.086956,73.916666,,69.833333,73.501811,73.916666,69.833333,2
180,4,2013-08-08,24.416666,,,24.416666,24.416666,24.416666,24.416666,1
181,5,2013-06-23,60.136363,49.125,,43.25,54.630681,60.136363,43.25,2
182,1,2013-10-04,159.291666,165.333333,155.541666,168.166666,160.055555,168.166666,155.541666,5
183,2,2014-07-02,57.5,52.90909,,47.826086,55.204545,57.5,47.826086,2
184,2,2015-11-19,31.458333,31.208333,,33.318181,31.333333,33.318181,31.208333,1
185,3,2013-01-28,191.5,202.291666,,180.833333,196.895833,202.291666,180.833333,5
186,3,2014-10-20,68.083333,68.5,,93.291666,68.291666,93.291666,68.083333,2
187,5,2015-10-24,63.583333,72.25,,62.541666,67.916666,72.25,62.541666,2
188,2,2013-01-22,113.782608,111.375,,121.958333,112.578804,121.958333,111.375,3
189,4,2015-10-18,48.375,52.416666,,48.375,50.395833,52.416666,48.375,2
190,5,2013-03-31,159.666666,146.208333,,,152.937499,159.666666,146.208333,5
191,1,2014-09-30,22.73913,30.833333,23.708333,28.291666,25.760265,30.833333,22.73913,1
192,1,2015-06-30,15.791666,5.857142,18.875,12.791666,13.507936,18.875,5.857142,1
193,4,2012-09-17,51.166666,,,51.166666,51.166666,51.166666,51.166666,2
194,4,2013-06-17,18.625,13.230769,,18.625,15.927884,18.625,13.230769,1
195,1,2013-05-21,139.615384,113.291666,91.913043,101.541666,114.940031,139.615384,91.913043,3
196,2,2013-10-10,57.541666,60.434782,,49.458333,58.988224,60.434782,49.458333,2
197,4,2014-10-26,,81.916666,,,81.916666,81.916666,81.916666,3
198,4,2015-07-26,15.583333,21.75,,15.583333,18.666666,21.75,15.583333,1
199,1,2014-12-22,72.625,102.75,90.181818,98.958333,88.518939,102.75,72.625,3
200,1,2015-09-22,139.583333,,135.458333,115.875,137.520833,139.583333,115.875,4
201,4,2012-06-25,28.666666,,,28.666666,28.666666,28.666666,28.666666,1
202,4,2013-03-25,53.375,51.363636,,53.375,52.369318,53.375,51.363636,2
203,5,2014-01-01,35.73913,34.291666,,34.583333,35.015398,35.73913,34.291666,2
204,3,2013-07-04,38.375,42.208333,,,40.291666,42.208333,38.375,2
205,4,2013-06-03,44.416666,43.304347,,44.416666,43.860506,44.416666,43.304347,2
206,5,2015-10-07,63.291666,66.25,,66.25,64.770833,66.25,63.291666,2
207,1,2015-05-03,41.541666,135.222222,41.041666,48.125,72.601851,135.222222,41.041666,2
208,2,2014-06-15,55.652173,52.5,,46.583333,54.076086,55.652173,46.583333,2
209,2,2015-08-24,24.958333,16.5,,20.25,20.729166,24.958333,16.5,1
210,2,2015-10-29,34.791666,35.25,,37.208333,35.020833,37.208333,34.791666,2
211,2,2014-11-01,75.333333,74.521739,,67.541666,74.927536,75.333333,67.541666,2
212,2,2015-01-21,114.583333,106.708333,,106.695652,110.645833,114.583333,106.695652,3
213,2,2015-08-01,59.458333,54.8125,,50.25,57.135416,59.458333,50.25,2
214,3,2014-09-13,34.708333,28.708333,,32.916666,31.708333,34.708333,28.708333,1
215,4,2014-08-12,16.208333,27.333333,,16.208333,21.770833,27.333333,16.208333,1
216,2,2013-05-24,60.47826,59.190476,,46.375,59.834368,60.47826,46.375,2
217,3,2015-09-28,32.958333,27.583333,,36.333333,30.270833,36.333333,27.583333,1
218,4,2011-12-11,39.666666,,,39.666666,39.666666,39.666666,39.666666,2
219,5,2014-08-21,108.125,98.916666,,107.083333,103.520833,108.125,98.916666,3
220,5,2015-05-21,55.708333,43.083333,,54.0,49.395833,55.708333,43.083333,2
221,2,2014-01-29,57.826086,52.95,,59.0,55.388043,59.0,52.95,2
222,5,2013-07-07,73.75,59.291666,,48.708333,66.520833,73.75,48.708333,2
223,1,2013-04-20,74.541666,72.0,70.125,78.541666,72.222222,78.541666,70.125,2
224,1,2013-06-25,129.541666,128.958333,124.791666,127.375,127.763888,129.541666,124.791666,4
225,2,2014-01-06,22.0,29.73913,,27.541666,25.869565,29.73913,22.0,1
226,4,2012-09-03,26.291666,,,26.291666,26.291666,26.291666,26.291666,1
227,5,2013-04-15,38.090909,38.818181,,,38.454545,38.818181,38.090909,2
228,2,2015-03-15,52.541666,52.958333,,54.333333,52.749999,54.333333,52.541666,2
229,3,2015-05-06,69.75,72.833333,,96.458333,71.291666,96.458333,69.75,2
230,5,2013-07-30,42.625,44.388888,,,43.506944,44.388888,42.625,2
231,1,2014-03-17,82.458333,81.458333,78.375,85.833333,80.763888,85.833333,78.375,3
232,2,2014-02-16,16.875,23.208333,,23.25,20.041666,23.25,16.875,1
233,2,2015-06-07,34.208333,30.208333,,26.625,32.208333,34.208333,26.625,1
234,4,2013-04-09,61.541666,56.25,,61.541666,58.895833,61.541666,56.25,2
235,4,2013-08-31,59.086956,,,59.086956,59.086956,59.086956,59.086956,2
236,1,2014-12-02,38.304347,52.047619,49.714285,55.826086,46.68875,55.826086,38.304347,2
237,1,2015-03-09,8.666666,9.958333,7.833333,7.541666,8.819444,9.958333,7.541666,1
238,1,2015-09-02,9.083333,,5.833333,8.583333,7.458333,9.083333,5.833333,1
239,2,2013-02-09,,47.695652,,50.695652,47.695652,50.695652,47.695652,2
240,2,2015-02-08,92.625,58.777777,,56.68421,75.701388,92.625,56.68421,3
241,4,2012-04-17,138.25,,,138.25,138.25,138.25,138.25,4
242,4,2012-11-28,47.875,,,47.875,47.875,47.875,47.875,2
243,4,2013-01-17,94.833333,96.75,,94.833333,95.791666,96.75,94.833333,3
244,4,2013-10-02,50.375,,,50.375,50.375,50.375,50.375,2
245,5,2013-03-08,97.958333,80.583333,,,89.270833,97.958333,80.583333,3
246,5,2013-11-29,61.875,53.833333,,53.333333,57.854166,61.875,53.333333,2
247,1,2013-02-03,168.916666,,158.166666,188.875,163.541666,188.875,158.166666,5
248,2,2014-12-08,103.173913,106.166666,,102.625,104.670289,106.166666,102.625,3
249,3,2014-05-14,103.0,85.958333,,94.708333,94.479166,103.0,85.958333,3
250,3,2015-02-14,169.541666,142.541666,,178.25,156.041666,178.25,142.541666,5
251,5,2013-09-01,24.583333,22.958333,,27.130434,23.770833,27.130434,22.958333,1
252,1,2015-08-18,48.125,40.642857,36.5,45.043478,41.755952,48.125,36.5,2
253,3,2013-01-11,203.625,254.4375,,258.6,229.03125,258.6,203.625,5
254,3,2013-05-30,54.8,38.0,,35.083333,46.4,54.8,35.083333,2
255,4,2015-05-15,15.625,17.75,,15.625,16.6875,17.75,15.625,1
256,5,2015-04-14,90.5,77.583333,,82.625,84.041666,90.5,77.583333,3
257,1,2014-01-23,245.434782,245.826086,256.55,290.304347,249.270289,290.304347,245.434782,5
258,2,2013-06-08,34.125,29.333333,,25.666666,31.729166,34.125,25.666666,1
259,3,2015-01-27,132.47619,145.291666,,160.083333,138.883928,160.083333,132.47619,4
260,4,2013-09-18,44.333333,46.208333,,44.333333,45.270833,46.208333,44.333333,2
261,4,2015-10-01,56.5,57.458333,,56.5,56.979166,57.458333,56.5,2
262,1,2013-03-10,39.625,42.25,39.041666,42.125,40.305555,42.25,39.041666,2
263,1,2014-10-28,56.90909,,67.708333,69.333333,62.308711,69.333333,56.90909,2
264,1,2015-07-28,63.208333,51.791666,48.541666,50.666666,54.513888,63.208333,48.541666,2
265,2,2014-04-21,45.083333,44.217391,,45.791666,44.650362,45.791666,44.217391,2
266,3,2014-03-20,47.75,39.125,,46.208333,43.4375,47.75,39.125,2
267,5,2014-02-05,124.916666,94.375,,107.291666,109.645833,124.916666,94.375,3
268,3,2013-05-07,103.15,88.105263,,77.6,95.627631,103.15,77.6,3
269,5,2014-11-13,64.291666,45.916666,,61.416666,55.104166,64.291666,45.916666,2
270,5,2015-08-13,39.875,33.166666,,,36.520833,39.875,33.166666,2
271,1,2013-02-26,195.333333,,185.458333,216.416666,190.395833,216.416666,185.458333,5
272,1,2014-11-18,62.958333,101.041666,88.25,91.0,84.083333,101.041666,62.958333,3
273,2,2015-12-23,192.0,202.5,,202.0,197.25,202.5,192.0,5
274,3,2015-11-22,57.304347,51.0,,69.125,54.152173,69.125,51.0,2
275,3,2014-04-27,58.375,48.583333,,57.416666,53.479166,58.375,48.583333,2
276,4,2012-12-18,23.25,,,23.25,23.25,23.25,23.25,1
277,5,2013-12-16,178.291666,131.708333,,156.791666,154.999999,178.291666,131.708333,5
278,2,2014-11-24,31.565217,30.565217,,29.705882,31.065217,31.565217,29.705882,1
279,4,2014-03-26,61.523809,73.291666,,61.523809,67.407737,73.291666,61.523809,2
280,4,2015-11-28,,47.045454,,,47.045454,47.045454,47.045454,2
281,4,2013-10-25,64.958333,,,64.958333,64.958333,64.958333,64.958333,2
282,4,2014-07-25,33.043478,42.869565,,33.043478,37.956521,42.869565,33.043478,2
283,4,2015-04-25,120.375,110.708333,,120.375,115.541666,120.375,110.708333,4
284,5,2013-09-24,16.565217,20.181818,,23.956521,18.373517,23.956521,16.565217,1
285,5,2014-06-24,68.782608,43.541666,,53.291666,56.162137,68.782608,43.541666,2
286,5,2015-03-24,135.708333,106.875,,130.043478,121.291666,135.708333,106.875,4
287,1,2014-12-25,23.391304,37.625,24.25,30.041666,28.422101,37.625,23.391304,1
288,1,2015-09-25,26.565217,14.0,23.73913,19.826086,21.434782,26.565217,14.0,1
289,2,2015-11-16,80.875,75.166666,,71.083333,78.020833,80.875,71.083333,3
290,1,2015-12-17,61.0,29.833333,55.541666,65.095238,48.791666,65.095238,29.833333,2
291,3,2013-10-19,96.583333,90.565217,,60.333333,93.574275,96.583333,60.333333,3
292,4,2013-12-10,123.5625,,,123.5625,123.5625,123.5625,123.5625,4
293,5,2013-02-21,126.0,103.181818,,,114.590909,126.0,103.181818,3
294,3,2013-11-23,32.208333,30.458333,,47.125,31.333333,47.125,30.458333,1
295,3,2014-10-03,44.708333,44.125,,,44.416666,44.708333,44.125,2
296,3,2013-02-15,60.041666,60.875,,59.041666,60.458333,60.875,59.041666,2
297,3,2013-04-26,135.76923,128.153846,,94.923076,131.961538,135.76923,94.923076,4
298,3,2014-03-06,43.125,46.173913,,51.583333,44.649456,51.583333,43.125,2
299,4,2012-03-27,2.066666,,,2.066666,2.066666,2.066666,2.066666,1
300,4,2015-06-19,12.791666,20.541666,,12.791666,16.666666,20.541666,12.791666,1
301,4,2015-08-30,26.416666,29.958333,,26.416666,28.187499,29.958333,26.416666,1
302,5,2014-07-31,60.458333,52.458333,,53.75,56.458333,60.458333,52.458333,2
303,1,2014-02-27,18.681818,15.863636,15.40909,18.772727,16.651514,18.772727,15.40909,1
304,1,2015-11-10,140.833333,,140.0,136.125,140.416666,140.833333,136.125,4
305,5,2015-07-06,43.583333,37.041666,,41.916666,40.312499,43.583333,37.041666,2
306,2,2013-01-05,46.904761,47.05,,54.857142,46.97738,54.857142,46.904761,2
307,4,2014-04-16,44.470588,53.041666,,44.470588,48.756127,53.041666,44.470588,2
308,4,2012-08-13,34.913043,,,34.913043,34.913043,34.913043,34.913043,1
309,4,2013-05-13,46.875,,,46.875,46.875,46.875,46.875,2
310,1,2014-07-13,17.166666,26.869565,19.416666,22.166666,21.150965,26.869565,17.166666,1
311,1,2015-04-13,30.833333,31.333333,30.666666,36.791666,30.944444,36.791666,30.666666,1
312,3,2015-12-29,203.958333,219.5,,266.291666,211.729166,266.291666,203.958333,5
313,5,2014-05-20,84.956521,58.173913,,70.217391,71.565217,84.956521,58.173913,2
314,5,2015-02-20,56.416666,74.458333,,56.666666,65.437499,74.458333,56.416666,2
315,4,2012-10-24,59.0,,,59.0,59.0,59.0,59.0,2
316,4,2013-07-24,15.541666,,,15.541666,15.541666,15.541666,15.541666,1
317,4,2014-06-04,59.8,45.291666,,59.8,52.545833,59.8,45.291666,2
318,4,2014-06-27,16.666666,26.625,,16.666666,21.645833,26.625,16.666666,1
319,3,2015-01-10,76.375,78.916666,,97.875,77.645833,97.875,76.375,3
320,4,2014-02-22,68.041666,66.875,,68.041666,67.458333,68.041666,66.875,2
321,5,2014-07-14,62.166666,58.541666,,73.0,60.354166,73.0,58.541666,2
322,2,2013-06-14,32.416666,35.652173,,28.916666,34.034419,35.652173,28.916666,1
323,3,2015-08-07,43.791666,46.041666,,50.625,44.916666,50.625,43.791666,2
324,4,2013-07-01,18.166666,,,18.166666,18.166666,18.166666,18.166666,1
325,3,2015-03-21,41.75,28.541666,,52.541666,35.145833,52.541666,28.541666,2
326,5,2014-10-06,42.375,47.875,,46.375,45.125,47.875,42.375,2
